#
#model:
#
#<?xml version="1.0" encoding="UTF-8" standalone="no"?><input id="posterior" spec="beast.core.util.CompoundDistribution">
#    <distribution id="prior" spec="beast.core.util.CompoundDistribution">
#        <distribution id="YuleModel.t:parvagr" spec="beast.evolution.speciation.YuleModel">
#            <parameter id="birthRate.t:parvagr" name="birthDiffRate">1.0</parameter>
#            <tree id="Tree.t:parvagr">
#                <taxonset id="TaxonSet.parvagr" spec="beast.evolution.alignment.TaxonSet">
#                </taxonset>
#            </tree>
#        </distribution>
#        <prior id="YuleBirthRatePrior.t:parvagr" name="distribution" x="@birthRate.t:parvagr">
#            <Uniform id="Uniform.1" name="distr" upper="Infinity"/>
#        </prior>
#        <prior id="KappaPrior.s:parvagr" name="distribution">
#            <parameter id="kappa.s:parvagr" lower="0.0" name="x">2.0</parameter>
#            <LogNormal id="LogNormalDistributionModel.0" name="distr">
#                <parameter estimate="false" id="RealParameter.1" name="M">1.0</parameter>
#                <parameter estimate="false" id="RealParameter.2" name="S">1.25</parameter>
#            </LogNormal>
#        </prior>
#    </distribution>
#    <distribution id="likelihood" spec="beast.core.util.CompoundDistribution" useThreads="true">
#        <distribution data="@parvagr" id="treeLikelihood.parvagr" spec="beast.evolution.likelihood.ThreadedTreeLikelihood" tree="@Tree.t:parvagr" useAmbiguities="true">
#            <siteModel id="SiteModel.s:parvagr" spec="beast.evolution.sitemodel.SiteModel">
#                <parameter estimate="false" id="mutationRate.s:parvagr" name="mutationRate">1.0</parameter>
#                <parameter estimate="false" id="gammaShape.s:parvagr" name="shape">1.0</parameter>
#                <parameter estimate="false" id="proportionInvariant.s:parvagr" lower="0.0" name="proportionInvariant" upper="1.0">0.0</parameter>
#                <substModel id="hky.s:parvagr" kappa="@kappa.s:parvagr" spec="beast.evolution.substitutionmodel.HKY">
#                    <frequencies id="estimatedFreqs.s:parvagr" spec="beast.evolution.substitutionmodel.Frequencies">
#                        <parameter dimension="4" id="freqParameter.s:parvagr" lower="0.0" name="frequencies" upper="1.0">0.25</parameter>
#                    </frequencies>
#                </substModel>
#            </siteModel>
#            <branchRateModel id="StrictClock.c:parvagr" spec="beast.evolution.branchratemodel.StrictClockModel">
#                <parameter estimate="false" id="clockRate.c:parvagr" name="clock.rate">1.0</parameter>
#            </branchRateModel>
#        </distribution>
#    </distribution>
#</input>
#
Sample	posterior	likelihood	prior	treeLikelihood	TreeHeight	YuleModel	birthRate	kappa	freqParameter.1	freqParameter.2	freqParameter.3	freqParameter.4
0	-17813.0162104077	-17798.703424563835	-14.312785843865207	-17798.703424563835	3.2156273578146486	-12.44742580989092	1.0	2.0	0.25	0.25	0.25	0.25
1000	-12653.380889816313	-12921.184434290328	267.80354447401476	-12921.184434290328	0.20006262141283448	270.05439352647517	10.67148197188753	3.019900565314998	0.25	0.25	0.25	0.25
2000	-11001.05289719217	-11356.445784927824	355.392887735654	-11356.445784927824	0.12749734253194153	357.64373678811444	46.074196906956836	3.019900565314998	0.25	0.25	0.25	0.25
3000	-10205.870780340985	-10582.110231322642	376.2394509816568	-10582.110231322642	0.09900969402284655	378.4903000341172	55.2026466878086	3.019900565314998	0.24269992976865237	0.2573000702313476	0.25	0.25
4000	-9888.10930206449	-10254.72903589109	366.61973382660193	-10254.72903589109	0.1020609743774486	368.87058287906234	48.23411240286408	3.019900565314998	0.24055074864999496	0.24868652996887952	0.2521491811186574	0.2586135402624681
5000	-9259.035755185641	-9632.315946433697	373.28019124805627	-9632.315946433697	0.09518222833581537	375.5310403005167	50.39504666461837	3.019900565314998	0.24055074864999496	0.24868652996887952	0.249095951117832	0.2616667702632935
6000	-8858.648656401305	-9246.336580988094	387.68792458679	-9246.336580988094	0.08828516417938173	389.9387736392504	56.670247794664576	3.019900565314998	0.24055074864999496	0.24868652996887952	0.249095951117832	0.2616667702632935
7000	-8499.919241962485	-8880.617605004185	380.69836304170025	-8880.617605004185	0.09868879770698949	382.94921209416066	47.47410853304948	3.019900565314998	0.23777074842978957	0.24868652996887952	0.249095951117832	0.26444677048349885
8000	-7882.449137047161	-8280.076232418813	397.6270953716523	-8280.076232418813	0.08711152666319051	399.8779444241127	60.09330633744061	3.019900565314998	0.23777074842978957	0.24868652996887952	0.249095951117832	0.26444677048349885
9000	-7440.906519237858	-7855.091391698623	414.18487246076427	-7855.091391698623	0.0752791235866051	416.4357215132247	67.10875951744067	3.019900565314998	0.23777074842978957	0.24868652996887952	0.249095951117832	0.26444677048349885
10000	-7003.27545893587	-7417.442188486543	414.1667295506735	-7417.442188486543	0.07486004811534641	416.43595822066794	63.744949776182956	3.0720831377658175	0.23777074842978957	0.254215064855651	0.24356741623106054	0.26444677048349885
11000	-6754.441956451189	-7179.891041817199	425.44908536600997	-7179.891041817199	0.07364158282209937	427.7183140360044	73.78398339707434	3.0720831377658175	0.23777074842978957	0.254215064855651	0.237789215019638	0.2702249716949214
