#
#model:
#
#<?xml version="1.0" encoding="UTF-8" standalone="no"?><input id="posterior" spec="beast.core.util.CompoundDistribution">
#    <distribution id="prior" spec="beast.core.util.CompoundDistribution">
#        <distribution id="YuleModel.t:parvagr" spec="beast.evolution.speciation.YuleModel">
#            <parameter id="birthRate.t:parvagr" name="birthDiffRate">1.0</parameter>
#            <tree id="Tree.t:parvagr">
#                <taxonset id="TaxonSet.parvagr" spec="beast.evolution.alignment.TaxonSet">
#                </taxonset>
#            </tree>
#        </distribution>
#        <prior id="YuleBirthRatePrior.t:parvagr" name="distribution" x="@birthRate.t:parvagr">
#            <Uniform id="Uniform.1" name="distr" upper="Infinity"/>
#        </prior>
#        <prior id="KappaPrior.s:parvagr" name="distribution">
#            <parameter id="kappa.s:parvagr" lower="0.0" name="x">2.0</parameter>
#            <LogNormal id="LogNormalDistributionModel.0" name="distr">
#                <parameter estimate="false" id="RealParameter.1" name="M">1.0</parameter>
#                <parameter estimate="false" id="RealParameter.2" name="S">1.25</parameter>
#            </LogNormal>
#        </prior>
#    </distribution>
#    <distribution id="likelihood" spec="beast.core.util.CompoundDistribution" useThreads="true">
#        <distribution data="@parvagr" id="treeLikelihood.parvagr" spec="beast.evolution.likelihood.ThreadedTreeLikelihood" tree="@Tree.t:parvagr" useAmbiguities="true">
#            <siteModel id="SiteModel.s:parvagr" spec="beast.evolution.sitemodel.SiteModel">
#                <parameter estimate="false" id="mutationRate.s:parvagr" name="mutationRate">1.0</parameter>
#                <parameter estimate="false" id="gammaShape.s:parvagr" name="shape">1.0</parameter>
#                <parameter estimate="false" id="proportionInvariant.s:parvagr" lower="0.0" name="proportionInvariant" upper="1.0">0.0</parameter>
#                <substModel id="hky.s:parvagr" kappa="@kappa.s:parvagr" spec="beast.evolution.substitutionmodel.HKY">
#                    <frequencies id="estimatedFreqs.s:parvagr" spec="beast.evolution.substitutionmodel.Frequencies">
#                        <parameter dimension="4" id="freqParameter.s:parvagr" lower="0.0" name="frequencies" upper="1.0">0.25</parameter>
#                    </frequencies>
#                </substModel>
#            </siteModel>
#            <branchRateModel id="StrictClock.c:parvagr" spec="beast.evolution.branchratemodel.StrictClockModel">
#                <parameter estimate="false" id="clockRate.c:parvagr" name="clock.rate">1.0</parameter>
#            </branchRateModel>
#        </distribution>
#    </distribution>
#</input>
#
Sample	posterior	likelihood	prior	treeLikelihood	TreeHeight	YuleModel	birthRate	kappa	freqParameter.1	freqParameter.2	freqParameter.3	freqParameter.4
0	-19541.51057956121	-19526.201799120467	-15.308780440744826	-19526.201799120467	2.9441518702296317	-13.443420406770539	1.0	2.0	0.25	0.25	0.25	0.25
1000	-13371.684004395327	-13722.166491719156	350.4824873238284	-13722.166491719156	0.34435913462628426	352.3478473578027	36.21595667244394	2.0	0.25	0.25	0.25	0.25
2000	-11840.347718954356	-12189.27449532714	348.92677637278314	-12189.27449532714	0.1859154218994128	350.79213640675744	37.8331648605355	2.0	0.25	0.25	0.25	0.25
3000	-11017.031204248187	-11373.329344339925	356.2981400917376	-11373.329344339925	0.15924505109948978	358.1635001257119	43.904779639258024	2.0	0.25	0.25	0.25	0.25
4000	-10386.498112214269	-10747.612304854048	361.11419263977865	-10747.612304854048	0.13810013849804717	363.2231921430888	42.407709758647876	2.628884403293893	0.242233792630468	0.25	0.25	0.25776620736953204
5000	-9624.717744435127	-9993.913676569033	369.1959321339054	-9993.913676569033	0.12100255212114992	371.32474874978476	50.511323409870656	2.6823083190889214	0.242233792630468	0.25	0.25	0.25776620736953204
6000	-9006.557599578173	-9388.847930836047	382.29033125787464	-9388.847930836047	0.0970639327936358	384.419147873754	54.76465828847643	2.6823083190889214	0.23612049487371076	0.25611329775675723	0.25	0.25776620736953204
7000	-8528.577355271638	-8916.260651966413	387.68329669477583	-8916.260651966413	0.0925171754384126	390.30309328828923	53.54151611910152	4.1412511121335545	0.23612049487371076	0.26024737341002996	0.2458659243467273	0.25776620736953204
8000	-8212.214911811538	-8602.400743880191	390.18583206865304	-8602.400743880191	0.08236411314463889	392.80562866216644	57.96810809678927	4.1412511121335545	0.23670988932069825	0.2613651892436906	0.2441587140660791	0.25776620736953204
9000	-7994.521346213665	-8395.814404267889	401.29305805422314	-8395.814404267889	0.07500144738404986	403.78495315972646	59.09322104906282	3.7342452691275025	0.23670988932069825	0.2613651892436906	0.2441587140660791	0.25776620736953204
10000	-7736.79192162924	-8136.398142746462	399.606221117222	-8136.398142746462	0.07948623965786754	402.0889866347037	56.48706343964496	3.7059616645105433	0.23670988932069825	0.25287166275268175	0.2441587140660791	0.2662597338605409
11000	-7397.455945107403	-7798.680090699884	401.22414559248176	-7798.680090699884	0.0775206888765346	403.70691110996347	57.86706833059547	3.7059616645105433	0.23670988932069825	0.25287166275268175	0.2441587140660791	0.2662597338605409
